,0
Start,0.0
End,2315.0
Duration,2315.0
Exposure Time [%],3.8860103626943006
Equity Final [$],57917.223388671875
Equity Peak [$],61507.58117675781
Return [%],479.17223388671874
Buy & Hold Return [%],213.3201244240091
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Max. Drawdown [%],-56.19881874119124
Avg. Drawdown [%],-9.409611495511271
Max. Drawdown Duration,417.0
Avg. Drawdown Duration,73.33333333333333
# Trades,23.0
Win Rate [%],86.95652173913044
Best Trade [%],2.195045468799006
Worst Trade [%],-1.4533259787978703
Avg. Trade [%],0.8307484412575228
Max. Trade Duration,5.0
Avg. Trade Duration,2.9130434782608696
Profit Factor,13.064341445867022
Expectancy [%],0.83388344200216
SQN,2.9826833336005634
_strategy,MyStrat
_equity_curve,"            Equity  DrawdownPct  DrawdownDuration
0     10000.000000     0.000000               NaN
1     10000.000000     0.000000               NaN
2     10000.000000     0.000000               NaN
3     10000.000000     0.000000               NaN
4     10000.000000     0.000000               NaN
...            ...          ...               ...
2311  57917.223389     0.058373               NaN
2312  57917.223389     0.058373               NaN
2313  57917.223389     0.058373               NaN
2314  57917.223389     0.058373               NaN
2315  57917.223389     0.058373             314.0

[2316 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar   EntryPrice    ExitPrice           PnL  ReturnPct  EntryTime  ExitTime  Duration
0    112       419      422   879.820007   879.820007      0.000000   0.000000        419       422         3
1    107       458      463   923.580017   922.320007   -134.821045  -0.001364        458       463         5
2    105       495      497   924.489990   943.599976   2006.548462   0.020671        495       497         2
3    117       569      573   999.929993  1001.299988    160.289429   0.001370        569       573         4
4    117       623      625  1013.010010  1030.430054   2038.145142   0.017196        623       625         2
5    129       699      701  1074.089966  1077.959961    499.229370   0.003603        699       701         2
6    133       742      744  1081.380005  1096.089966   1956.424805   0.013603        742       744         2
7    147       793      796  1111.900024  1124.619995   1869.835693   0.011440        793       796         3
8    159       850      852  1141.060059  1152.540039   1825.316895   0.010061        850       852         2
9    174       927      929  1149.199951  1162.630005   2336.829346   0.011686        927       929         2
10   198      1177     1179  1126.140015  1128.430054    453.427734   0.002034       1177      1179         2
11   193      1230     1231  1179.630005  1196.310059   3219.250366   0.014140       1230      1231         1
12   220      1232     1234  1178.699951  1189.770020   2435.415039   0.009392       1232      1234         2
13   244      1268     1271  1161.079956  1180.050049   4628.702637   0.016338       1268      1271         3
14   253      1362     1367  1298.369995  1307.050049   2196.053589   0.006685       1362      1367         5
15   260      1461     1463  1349.250000  1365.250000   4160.000000   0.011858       1461      1463         2
16   291      1466     1469  1345.010010  1356.920044   3465.819946   0.008855       1466      1469         3
17   291      1583     1588  1465.300049  1468.800049   1018.500000   0.002389       1583      1588         5
18   283      1755     1759  1539.030029  1554.609985   4409.127563   0.010123       1755      1759         4
19   296      1958     1962  1622.420044  1627.949951   1636.852539   0.003408       1958      1962         4
20   311      2000     2002  1594.500000  1629.500000  10885.000000   0.021950       2000      2002         2
21   348      2099     2103  1733.270020  1708.079956  -8766.142090  -0.014533       2099      2103         4
22   282      2271     2274  1829.660034  1849.579956   5617.417969   0.010887       2271      2274         3"
